0.0459;0.0459;0.0447;0.0423;0.0436;0.0427;0.0423;0.0419;0.0430;0.0436;0.0458;0.0453;0.0463;0.0455;0.0432;0.0417;0.0321;0.0299;0.0296;0.0294;0.0304;0.0355;0.0543;0.0549
0.0462;0.0461;0.0449;0.0425;0.0438;0.0429;0.0424;0.0421;0.0432;0.0438;0.0460;0.0457;0.0466;0.0458;0.0434;0.0418;0.0319;0.0298;0.0294;0.0292;0.0302;0.0355;0.0543;0.0525
0.0465;0.0463;0.0451;0.0426;0.0439;0.0430;0.0424;0.0421;0.0432;0.0439;0.0462;0.0458;0.0469;0.0461;0.0435;0.0419;0.0315;0.0291;0.0288;0.0285;0.0296;0.0352;0.0550;0.0527
0.0478;0.0487;0.0479;0.0464;0.0452;0.0448;0.0438;0.0437;0.0441;0.0459;0.0473;0.0479;0.0476;0.0461;0.0423;0.0377;0.0277;0.0258;0.0266;0.0270;0.0291;0.0351;0.0510;0.0505
0.0490;0.0485;0.0475;0.0462;0.0446;0.0442;0.0441;0.0443;0.0447;0.0466;0.0482;0.0492;0.0491;0.0480;0.0439;0.0379;0.0278;0.0235;0.0250;0.0254;0.0274;0.0339;0.0506;0.0504
0.0507;0.0494;0.0467;0.0450;0.0434;0.0426;0.0420;0.0420;0.0432;0.0455;0.0478;0.0499;0.0513;0.0509;0.0465;0.0393;0.0289;0.0225;0.0247;0.0235;0.0258;0.0346;0.0513;0.0524
0.0550;0.0521;0.0487;0.0463;0.0439;0.0429;0.0416;0.0401;0.0404;0.0415;0.0436;0.0470;0.0505;0.0518;0.0496;0.0409;0.0292;0.0221;0.0215;0.0208;0.0231;0.0343;0.0526;0.0605
0.0570;0.0517;0.0507;0.0474;0.0452;0.0449;0.0409;0.0404;0.0385;0.0391;0.0410;0.0444;0.0474;0.0500;0.0494;0.0419;0.0307;0.0222;0.0220;0.0207;0.0223;0.0370;0.0548;0.0602
0.0555;0.0496;0.0504;0.0478;0.0464;0.0466;0.0428;0.0439;0.0398;0.0392;0.0420;0.0442;0.0455;0.0496;0.0481;0.0437;0.0326;0.0246;0.0255;0.0247;0.0237;0.0380;0.0519;0.0440
0.0555;0.0496;0.0504;0.0478;0.0464;0.0466;0.0428;0.0439;0.0398;0.0392;0.0420;0.0442;0.0455;0.0496;0.0481;0.0437;0.0326;0.0246;0.0255;0.0247;0.0237;0.0380;0.0519;0.0440
